Unnamed: 0,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Turnover,TenureDays
384,Joe,South,2022-05-14,2022-10-21,Sr. Network Engineer,Robin Wilson,joe.south@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Involuntary,Back prove second tax air.,IT/IS,Fielders,11-03-1958,CT,Engineer,Male,6278,Hispanic,Widowed,Fully Meets,3,3811,18-05-2023,1,1,1,15-May-23,Technical Skills,External,Completed,Cervantesland,Thomas Stevenson,2,484.02,1,160
385,Sarah,Warfield,2019-02-13,2020-08-06,Sr. Network Engineer,Julie Lewis,sarah.warfield@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Resignation,Center west table security.,IT/IS,General - Eng,24-05-1985,MA,Administrative,Female,2453,Hispanic,Single,Fully Meets,3,3812,11-01-2023,3,3,1,02-Jun-23,Communication Skills,Internal,Failed,Marktown,William Bridges,5,299.74,1,540
386,Alejandro,Bacong,2022-08-24,,IT Support,Joseph Mathews,alejandro.bacong@bilearner.com,SVG,Active,Part-Time,Zone A,Part-Time,Unk,,IT/IS,Engineers,25-02-1955,MA,Engineer,Male,1886,Hispanic,Widowed,Fully Meets,3,3813,06-06-2023,2,3,4,21-Jul-23,Technical Skills,Internal,Failed,Mirandachester,Paul Robinson,1,169.79,0,347
387,Jyoti,Lajiri,2019-01-07,2020-09-05,Sr. Network Engineer,Karen Crawford,jyoti.lajiri@bilearner.com,EW,Leave of Absence,Part-Time,Zone C,Full-Time,Retirement,Short quality fall name get science throughout.,IT/IS,Engineers,17-04-1955,MA,Coordinator,Male,2169,Black,Widowed,Fully Meets,3,3814,08-07-2023,4,1,2,09-Jul-23,Communication Skills,Internal,Failed,Smithchester,Seth Bradley,5,655.68,1,607
388,Neville,Tredinnick,2021-03-26,,Network Engineer,Mary Mcmillan,neville.tredinnick@bilearner.com,SVG,Active,Contract,Zone C,Part-Time,Unk,,IT/IS,Project Management - Con,26-05-1984,MA,Coordinator,Male,1420,White,Divorced,Fully Meets,3,3815,23-02-2023,1,5,3,05-Feb-23,Project Management,Internal,Failed,Dianemouth,Evan Hart,1,910.09,0,863
389,Anthony,Cisco,2021-05-01,,IT Support,Kyle Adams,anthony.cisco@bilearner.com,WBL,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,Field Operations,10-08-1956,MA,Technician,Male,2135,Hispanic,Single,Fully Meets,3,3816,26-12-2022,1,1,5,20-Dec-22,Communication Skills,External,Passed,Barnesbury,Jessica Hicks,5,912.1,0,827
390,Linda,Dolan,2021-10-10,2023-01-21,IT Support,Jamie Baker,linda.dolan@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,Resignation,Firm national vote result.,IT/IS,General - Con,01-01-1978,MA,Technician,Female,2119,Black,Single,Needs Improvement,3,3817,24-06-2023,3,3,1,07-Mar-23,Customer Service,Internal,Incomplete,Strongfurt,Thomas Pena,4,456.65,1,468
391,Carlos,Merlos,2020-01-02,2022-04-03,Network Engineer,Daniel White,carlos.merlos@bilearner.com,CCDR,Active,Part-Time,Zone A,Part-Time,Voluntary,Car book street pull try brother.,IT/IS,Wireless,15-06-1950,MA,Technician,Male,2138,Asian,Single,Fully Meets,3,3818,28-01-2023,1,1,3,07-Nov-22,Leadership Development,External,Incomplete,Thomasview,Jeremy Lee,4,313.5,1,822
392,Tanya,Morway,2020-01-20,,Network Engineer,William Johnson,tanya.morway@bilearner.com,MSC,Active,Full-Time,Zone B,Part-Time,Unk,,IT/IS,Aerial,26-11-1957,MA,Foreman,Female,2048,Asian,Single,Fully Meets,3,3819,01-07-2023,4,1,1,29-Dec-22,Leadership Development,Internal,Incomplete,Port Christopherton,Marcus Harris,3,906.45,0,1294
393,Anita,Shepard,2018-08-11,2021-05-21,Network Engineer,George Tran,anita.shepard@bilearner.com,EW,Active,Contract,Zone C,Full-Time,Voluntary,Pattern son memory power citizen personal unit.,IT/IS,General - Con,29-09-1976,MA,Foreman,Female,1773,Other,Divorced,Fully Meets,3,3820,26-07-2023,1,3,4,19-Aug-22,Project Management,External,Incomplete,Matthewmouth,Dawn Dunn,2,333.8,1,1014
394,Jeremiah,Semizoglou,2021-12-18,,Sr. Network Engineer,Jonathan Knight,jeremiah.semizoglou@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,IT/IS,Field Operations,03-04-1981,MA,Manager,Male,1545,White,Single,Fully Meets,3,3821,05-12-2022,5,4,4,30-Nov-22,Project Management,External,Passed,Duncanland,Lisa Mitchell,2,866.63,0,596
395,Katrina,Lambert,2019-09-24,2022-04-04,Network Engineer,Calvin Williamson,katrina.lambert@bilearner.com,WBL,Active,Full-Time,Zone B,Part-Time,Retirement,Nice sit hotel doctor.,Executive Office,General - Con,18-09-1975,MA,Technician,Male,56727,Hispanic,Divorced,Fully Meets,3,3822,23-03-2023,4,4,5,08-Dec-22,Technical Skills,Internal,Incomplete,Shannonshire,Raymond Lee,5,357.58,1,923
396,Alexzander,Pope,2022-10-17,2023-06-26,Network Engineer,David Rodriguez,alexzander.pope@bilearner.com,TNS,Active,Full-Time,Zone A,Temporary,Involuntary,Word once speech mind.,Executive Office,Shop (Fleet),24-08-1987,MA,Supervisor,Male,12469,White,Single,Needs Improvement,3,3823,16-11-2022,5,4,1,21-Sep-22,Communication Skills,External,Completed,Wardstad,Gary Hill,4,516.9,1,252
397,Derek,Holmes,2020-01-07,,IT Support,Carolyn Richards,derek.holmes@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,IT/IS,General - Sga,21-11-1948,MA,Administrator,Male,83312,Black,Single,Fully Meets,3,3824,13-02-2023,4,4,5,18-Oct-22,Leadership Development,Internal,Completed,Lake Robert,Katherine Neal,5,200.23,0,1307
398,Danika,Deleon,2022-11-05,,IT Support,Karen York,danika.deleon@bilearner.com,PYZ,Active,Full-Time,Zone A,Part-Time,Unk,,IT/IS,Field Operations,23-05-1998,MA,Tower Hand,Male,97413,Black,Married,Fully Meets,3,3825,22-12-2022,4,4,2,24-Sep-22,Leadership Development,Internal,Completed,Karenside,Bradley Norris,1,728.77,0,274
399,Sabrina,Durham,2023-04-26,2023-06-03,IT Support,Jessica Hernandez,sabrina.durham@bilearner.com,PL,Active,Part-Time,Zone B,Full-Time,Resignation,Part officer father last trouble field.,IT/IS,Field Operations,11-04-2001,MA,Laborer,Male,21759,Asian,Divorced,Fully Meets,3,3826,17-11-2022,2,1,3,21-Nov-22,Communication Skills,Internal,Completed,West Robert,Christopher Contreras,4,286.12,1,38
400,Frankie,Carrillo,2019-05-29,,IT Support,Dana Ballard,frankie.carrillo@bilearner.com,NEL,Active,Part-Time,Zone B,Part-Time,Unk,,IT/IS,General - Eng,24-09-1992,MA,Engineer,Male,79707,Asian,Widowed,Fully Meets,3,3827,25-12-2022,3,3,4,01-Feb-23,Communication Skills,Internal,Failed,Sellersbury,Thomas Mcknight,5,997.15,0,1530
401,Quintin,Solomon,2019-09-12,,Sr. Network Engineer,Charles Duncan,quintin.solomon@bilearner.com,PL,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,28-10-1990,MA,Lineman,Male,84152,Black,Divorced,Fully Meets,3,3828,21-02-2023,2,5,1,13-Jun-23,Leadership Development,External,Failed,South Rebecca,Andrew Sanders,2,984.63,0,1424
402,Jaqueline,Pittman,2019-01-27,2021-02-26,Sr. Network Engineer,Jesse Newman,jaqueline.pittman@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Resignation,Suffer rock nothing happen strong major spend.,IT/IS,Project Management - Con,12-03-1956,MA,Manager,Male,55408,Other,Married,Exceeds,3,3829,30-10-2022,3,2,1,24-Oct-22,Project Management,External,Incomplete,Davismouth,Ms. Mary Smith,5,233.67,1,761
403,Mariana,Glass,2019-08-20,,Principal Data Architect,David Zavala,mariana.glass@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,IT/IS,Field Operations,30-05-1947,CT,Tower Hand,Male,89892,White,Widowed,PIP,3,3830,28-12-2022,1,1,3,15-Mar-23,Technical Skills,Internal,Completed,Cooperview,Micheal Bishop,3,142.42,0,1447
404,Payton,Cross,2018-09-14,,Enterprise Architect,John Holt,payton.cross@bilearner.com,SVG,Active,Part-Time,Zone C,Part-Time,Unk,,IT/IS,Field Operations,07-03-1950,CT,Laborer,Female,16260,Hispanic,Divorced,Needs Improvement,3,3831,19-05-2023,3,2,5,22-Mar-23,Project Management,Internal,Failed,Baldwinmouth,William Brooks,2,784.73,0,1787
405,Sloane,Rasmussen,2021-08-02,2022-09-29,Sr. DBA,Melinda Mcintyre,sloane.rasmussen@bilearner.com,EW,Leave of Absence,Full-Time,Zone B,Part-Time,Resignation,Lead throw others.,IT/IS,Project Management - Eng,07-09-1964,MA,Planner,Female,96097,Hispanic,Widowed,PIP,3,3832,03-11-2022,1,4,5,10-Jan-23,Leadership Development,Internal,Incomplete,Burgessfurt,Gwendolyn Keller,4,770.38,1,423
406,Elise,Vazquez,2022-01-26,2022-11-02,Network Engineer,Melissa Baker,elise.vazquez@bilearner.com,PYZ,Active,Full-Time,Zone A,Part-Time,Retirement,Partner discover size agency alone.,Executive Office,Field Operations,12-05-1953,MA,Top Hand,Male,21738,Asian,Single,PIP,3,3833,04-02-2023,3,5,2,23-Jun-23,Leadership Development,External,Completed,East Willieburgh,John Guerra,2,409.16,1,280
407,Monique,Pierce,2019-05-10,2021-08-05,Network Engineer,Gregory Coleman,monique.pierce@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Involuntary,Participant candidate wonder growth agree.,Executive Office,Field Operations,11-07-1961,MA,Technician,Male,40039,Hispanic,Married,Fully Meets,3,3834,25-01-2023,3,5,5,04-Jan-23,Technical Skills,External,Passed,Heatherborough,Crystal Wallace,1,700.53,1,818
408,Axel,Higgins,2019-01-02,2022-12-06,IT Support,Paul Smith,axel.higgins@bilearner.com,NEL,Active,Part-Time,Zone B,Part-Time,Resignation,Try crime reach magazine their grow feeling.,IT/IS,Yard (Material Handling),11-10-1993,MA,Associate,Male,45952,Hispanic,Divorced,Fully Meets,3,3835,01-10-2022,5,3,1,05-Nov-22,Customer Service,External,Failed,Howardland,Austin Todd,3,439.63,1,1434
409,Marcos,Petty,2021-08-13,,IT Support,Heather Farmer,marcos.petty@bilearner.com,PL,Active,Contract,Zone A,Temporary,Unk,,IT/IS,General - Con,12-01-1946,MA,Technician,Male,9738,Black,Single,Fully Meets,3,3836,04-03-2023,2,3,5,29-Apr-23,Technical Skills,External,Incomplete,Justinport,Michael Miller,3,830.78,0,723
410,Mia,Cowan,2022-10-02,2022-11-13,IT Support,Thomas Weaver,mia.cowan@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Resignation,Often my different just.,IT/IS,Finance & Accounting,27-08-1956,MA,Administrative,Male,72879,Other,Single,PIP,3,3837,15-10-2022,5,3,1,22-Feb-23,Communication Skills,Internal,Failed,North Eileen,Sherri Snyder,3,320.34,1,42
411,Tanya,Leonard,2018-12-17,2021-04-21,IT Support,Duane Le,tanya.leonard@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,Voluntary,Race state time lose.,IT/IS,Field Operations,14-08-1979,MA,Assistant,Female,28364,Asian,Single,PIP,3,3838,05-12-2022,1,1,2,19-Apr-23,Communication Skills,Internal,Failed,West Michael,Mallory Johnson,2,510.23,1,856
412,Dereon,Page,2021-10-11,,Sr. Network Engineer,Jason Morris DVM,dereon.page@bilearner.com,PL,Active,Contract,Zone B,Part-Time,Unk,,IT/IS,General - Con,27-09-2000,MA,Lineman,Male,94433,Hispanic,Divorced,PIP,3,3839,04-04-2023,3,3,4,12-Jun-23,Communication Skills,External,Failed,Michaelville,Chris Beasley,4,403.0,0,664
413,Meadow,Boyer,2023-04-01,2023-05-18,Sr. Network Engineer,Alex Lewis,meadow.boyer@bilearner.com,BPC,Active,Part-Time,Zone B,Full-Time,Voluntary,Item type author pick set read style.,IT/IS,Field Operations,25-10-1969,MA,Foreman,Male,97654,Hispanic,Single,Fully Meets,3,3840,03-02-2023,1,5,4,06-Nov-22,Technical Skills,External,Failed,West Jessicamouth,Evelyn Gray,4,170.61,1,47
414,Paris,Simpson,2021-03-20,,Principal Data Architect,Kevin Gross,paris.simpson@bilearner.com,CCDR,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,Wireline Construction,17-06-1970,CT,Laborer,Male,78239,Asian,Single,Fully Meets,3,3841,18-05-2023,5,4,4,24-Jan-23,Customer Service,External,Passed,South Annahaven,Dean Grimes,4,872.91,0,869
415,Kyla,Durham,2020-08-20,2021-08-11,Enterprise Architect,Clayton Robertson,kyla.durham@bilearner.com,SVG,Leave of Absence,Part-Time,Zone B,Part-Time,Involuntary,Visit lawyer interesting.,IT/IS,Aerial,19-07-1951,MA,Lineman,Female,40402,White,Divorced,Fully Meets,3,3842,31-07-2023,2,5,5,22-Sep-22,Project Management,Internal,Completed,Boothville,Keith Thomas,5,584.99,1,356
416,Cassidy,Maddox,2023-07-16,2023-07-30,Sr. DBA,Melissa Pineda,cassidy.maddox@bilearner.com,EW,Leave of Absence,Full-Time,Zone C,Full-Time,Resignation,Place field everyone yourself.,IT/IS,Engineers,07-02-1977,MA,Engineer,Female,21480,Asian,Single,Fully Meets,3,3843,16-11-2022,3,5,5,04-Aug-23,Technical Skills,External,Passed,New Richard,Rachel Brock,2,582.09,1,14
417,Edgar,Underwood,2021-06-10,2022-08-18,Network Engineer,Melissa Torres,edgar.underwood@bilearner.com,PYZ,Active,Part-Time,Zone C,Temporary,Voluntary,Church happen network dog kid thought.,Executive Office,General - Con,02-06-1961,MA,Laborer,Male,49677,White,Single,PIP,3,3844,01-02-2023,3,2,5,09-Jul-23,Project Management,External,Failed,East Normanbury,Kelly Diaz,5,603.67,1,434
418,Jaiden,Underwood,2019-08-25,,Network Engineer,Jordan Caldwell,jaiden.underwood@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Unk,,Executive Office,Field Operations,10-08-1969,MA,Laborer,Male,69726,Hispanic,Single,PIP,3,3845,05-08-2023,4,5,3,17-Aug-22,Project Management,Internal,Passed,Tapiastad,Jason Mendoza,5,546.24,0,1442
419,Eugene,Potts,2020-05-04,2023-05-15,IT Support,Anthony Neal,eugene.potts@bilearner.com,NEL,Active,Contract,Zone C,Full-Time,Retirement,Fall often enjoy once house card something.,IT/IS,Wireline Construction,10-08-1975,MA,Driver,Male,44664,Asian,Single,Fully Meets,3,3846,27-01-2023,4,5,1,11-Apr-23,Leadership Development,Internal,Incomplete,West Lori,Frank Rogers,4,607.97,1,1106
420,Gilbert,Klein,2019-02-24,2020-06-11,IT Support,Gregory Rodriguez,gilbert.klein@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Retirement,Indeed compare I since possible something.,IT/IS,Field Operations,06-09-1998,MA,Laborer,Male,53800,Hispanic,Single,Fully Meets,3,3847,04-10-2022,5,3,1,28-Mar-23,Technical Skills,Internal,Completed,Keithhaven,Andrew Powers,4,130.59,1,473
421,Nathaly,Huffman,2019-09-24,,IT Support,John Gordon,nathaly.huffman@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unk,,IT/IS,Field Operations,18-08-1996,MA,Technician,Male,69459,Asian,Married,Fully Meets,3,3848,02-10-2022,5,1,4,18-Nov-22,Communication Skills,Internal,Incomplete,Cardenasshire,Shane James,2,443.56,0,1412
422,Nancy,Clay,2021-02-13,,IT Support,Darryl Vargas,nancy.clay@bilearner.com,CCDR,Active,Contract,Zone A,Part-Time,Unk,,IT/IS,General - Con,21-01-1979,MA,Foreman,Female,78801,White,Widowed,Fully Meets,3,3849,07-09-2022,3,3,1,15-Mar-23,Leadership Development,External,Passed,South Lauraland,Tiffany Glover,3,436.47,0,904
423,Kylie,Cantrell,2020-01-05,2022-04-25,Sr. Network Engineer,Cheryl Cook,kylie.cantrell@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,Voluntary,Gas likely father read individual fly serve.,IT/IS,Yard (Material Handling),17-08-1953,MA,Administration,Male,77264,Hispanic,Single,Fully Meets,3,3850,15-10-2022,1,3,5,01-Nov-22,Communication Skills,Internal,Completed,Catherinestad,Cody Flores,1,355.75,1,841
424,Vance,Marquez,2019-01-18,2020-03-30,Sr. Network Engineer,Thomas Hanson,vance.marquez@bilearner.com,NEL,Leave of Absence,Contract,Zone C,Temporary,Resignation,Law particularly paper friend.,IT/IS,Executive,07-07-1994,CT,Manager,Male,38058,Black,Married,PIP,3,3851,27-08-2022,5,2,1,21-Jan-23,Project Management,Internal,Failed,East Michele,Angel Morales,3,982.51,1,437
425,Dante,Wyatt,2019-03-01,2021-09-25,Principal Data Architect,Dr. Eric Henderson,dante.wyatt@bilearner.com,PL,Leave of Absence,Part-Time,Zone A,Temporary,Retirement,Modern fight pattern.,IT/IS,Field Operations,10-09-1987,CT,Laborer,Female,34011,White,Widowed,PIP,3,3852,30-05-2023,5,2,4,28-Mar-23,Technical Skills,External,Completed,Joanmouth,Kevin Mitchell,3,372.76,1,939
426,Rey,Monroe,2021-08-14,2022-11-05,Enterprise Architect,James Horn,rey.monroe@bilearner.com,PYZ,Leave of Absence,Full-Time,Zone A,Temporary,Resignation,Rule yes maintain treatment.,IT/IS,General - Con,18-07-1983,MA,Operator,Female,56198,Asian,Single,Fully Meets,3,3853,04-02-2023,1,3,3,06-Oct-22,Leadership Development,External,Failed,New Davidview,Regina Sullivan,3,348.22,1,448
427,Jayden,Mckee,2019-06-06,2019-09-05,Network Engineer,Matthew Miranda,jayden.mckee@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Retirement,Area card test push day effect.,Executive Office,Technology / It,24-01-1942,MA,Manager,Male,72343,Black,Single,Fully Meets,3,3854,18-07-2023,5,2,5,17-Oct-22,Communication Skills,External,Incomplete,West Mary,Edward Campbell,5,913.62,1,91
428,Brady,Yoder,2021-05-25,2022-08-13,Network Engineer,Jason Patel,brady.yoder@bilearner.com,WBL,Active,Part-Time,Zone B,Part-Time,Retirement,Case try necessary test. Full today TV bit year.,Executive Office,People Services,01-10-1999,MA,Accountant,Male,77314,Other,Widowed,Fully Meets,3,3855,24-04-2023,5,3,4,02-Oct-22,Communication Skills,External,Passed,Lake Melissaborough,Brian Garcia,1,157.94,1,445
429,Darwin,Allen,2023-03-17,2023-06-12,Network Engineer,Michael Young,darwin.allen@bilearner.com,TNS,Active,Part-Time,Zone C,Part-Time,Involuntary,Stand cut knowledge staff course than class.,Executive Office,Wireline Construction,17-05-1994,MA,Groundman,Male,57170,Other,Divorced,PIP,3,3856,17-01-2023,5,1,4,12-Jul-23,Technical Skills,External,Completed,Jensenborough,Zachary Jennings,4,527.6,1,87
430,Jasper,Harrison,2022-10-02,2022-10-11,IT Support,Lindsey Osborne,jasper.harrison@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Voluntary,Forget budget now window.,IT/IS,Fielders,24-05-1963,MA,Engineer,Male,18837,Black,Widowed,PIP,3,3857,18-09-2022,1,1,2,24-Jul-23,Leadership Development,External,Completed,South Thomasview,Darrell Davidson,1,601.2,1,9
431,Bailey,Humphrey,2022-01-22,,IT Support,Gerald Yu,bailey.humphrey@bilearner.com,PYZ,Active,Full-Time,Zone B,Full-Time,Unk,,IT/IS,Engineers,02-07-1951,MA,Technician,Male,90580,Other,Married,Fully Meets,3,3858,07-05-2023,3,3,1,13-Jun-23,Project Management,External,Failed,Lake Jessicaport,Mary Morris,4,478.88,0,561
432,Clare,English,2019-11-29,2022-08-18,IT Support,Randall Keller,clare.english@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Voluntary,Conference feeling notice military.,IT/IS,Fielders,20-04-1992,MA,Engineer,Female,70282,Hispanic,Married,PIP,3,3859,02-08-2023,1,2,5,05-Jun-23,Communication Skills,External,Completed,North Amber,Colleen Miller,1,838.69,1,993
433,Amy,Sherman,2020-07-01,2022-09-22,IT Support,Ricky Banks,amy.sherman@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Resignation,A matter seven second professor.,IT/IS,Catv,04-01-1996,MA,Lineman,Female,86329,Asian,Single,Fully Meets,3,3860,26-06-2023,2,4,3,10-Oct-22,Technical Skills,Internal,Completed,West Briana,Sarah Walter,4,389.63,1,813
434,Lizbeth,Hunt,2022-03-24,,Sr. Network Engineer,Jessica Figueroa,lizbeth.hunt@bilearner.com,PL,Active,Full-Time,Zone C,Part-Time,Unk,,IT/IS,General - Con,25-02-1965,MA,Flagger,Male,70757,Other,Widowed,PIP,3,3861,19-07-2023,3,1,5,29-Apr-23,Project Management,Internal,Passed,Robertchester,Daniel Brown,1,911.36,0,500
435,Eden,Armstrong,2019-05-13,2023-06-06,Sr. Network Engineer,Lindsey Gibson,eden.armstrong@bilearner.com,BPC,Leave of Absence,Part-Time,Zone B,Temporary,Involuntary,Contain result down realize employee image in.,IT/IS,Project Management - Con,05-05-1989,CT,Engineer,Male,58224,White,Married,PIP,3,3862,08-01-2023,3,1,3,22-Sep-22,Communication Skills,Internal,Passed,South Davidmouth,Darlene Harris,3,603.03,1,1485
436,Eugene,Mueller,2019-06-07,,Principal Data Architect,Jeremy Hanson,eugene.mueller@bilearner.com,CCDR,Active,Contract,Zone A,Temporary,Unk,,IT/IS,Aerial,19-03-1972,MA,Technician,Female,38413,Other,Single,PIP,3,3863,23-11-2022,4,2,1,16-Sep-22,Leadership Development,Internal,Incomplete,Port Amanda,Sharon Decker,5,274.98,0,1521
437,Tiffany,Washington,2022-12-05,2023-06-13,Enterprise Architect,David Chung,tiffany.washington@bilearner.com,SVG,Leave of Absence,Contract,Zone A,Full-Time,Resignation,Sort blue time total.,IT/IS,Aerial,27-04-1969,MA,Laborer,Female,32977,Other,Married,Needs Improvement,3,3864,11-11-2022,3,4,2,02-Nov-22,Leadership Development,External,Incomplete,North Regina,Dennis Decker,4,976.03,1,190
438,Sloane,Moss,2020-09-29,2021-10-22,Network Engineer,Jacob Russo,sloane.moss@bilearner.com,MSC,Active,Part-Time,Zone C,Temporary,Involuntary,Me husband about special within.,Production       ,Sales & Marketing,03-10-1963,MA,Vp,Male,9209,Asian,Single,Needs Improvement,3,3865,26-05-2023,1,4,3,03-Nov-22,Project Management,External,Completed,Milesshire,Cheryl Ortiz,2,399.26,1,388
439,Kaeden,Vargas,2020-09-04,2021-04-17,Network Engineer,Harold Lee,kaeden.vargas@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Retirement,First bed red in.,Executive Office,Field Operations,09-11-1959,MA,Technician,Male,58737,Other,Divorced,Fully Meets,3,3866,16-09-2022,2,1,5,04-Dec-22,Customer Service,Internal,Incomplete,New Rachelborough,Erica Brewer,4,993.08,1,225
440,Lena,Sandoval,2018-08-26,,Network Engineer,Heather Hill,lena.sandoval@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,Unk,,Executive Office,Catv,21-10-1986,MA,Clerk,Male,5363,Other,Widowed,Fully Meets,3,3867,31-10-2022,5,3,3,07-Sep-22,Communication Skills,External,Failed,Stewartbury,Angie Romero DDS,4,540.57,0,1806
441,Adrien,Olsen,2019-08-17,,Network Engineer,Jasmine Smith,adrien.olsen@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,IT/IS,Finance & Accounting,23-03-2000,MA,Administrative,Male,51175,Hispanic,Widowed,Fully Meets,3,3868,16-09-2022,3,1,2,27-Sep-22,Project Management,Internal,Completed,North Timothyland,Taylor Harrington,3,272.58,0,1450
442,Damari,Brewer,2019-09-25,2020-02-07,IT Support,Shawn Martin,damari.brewer@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Voluntary,Investment radio bring who. Big move rise return.,IT/IS,Field Operations,10-06-1977,MA,Drafter,Male,49132,Hispanic,Divorced,Fully Meets,3,3869,07-01-2023,1,4,2,19-Mar-23,Project Management,External,Completed,Christophershire,Amanda Chase,2,905.51,1,135
443,Annalise,Gross,2023-03-11,2023-03-11,IT Support,Mr. Todd Lawson,annalise.gross@bilearner.com,PL,Active,Contract,Zone B,Temporary,Resignation,Capital economy while notice this nice.,IT/IS,Project Management - Con,23-11-1966,MA,Laborer,Male,64853,Asian,Single,Fully Meets,3,3870,13-02-2023,1,5,1,10-Mar-23,Technical Skills,External,Completed,Kevinville,Christopher Herring,1,919.25,1,0
444,Kamari,Mcgrath,2022-12-15,,IT Support,Laura Sanchez,kamari.mcgrath@bilearner.com,BPC,Active,Full-Time,Zone B,Full-Time,Unk,,IT/IS,General - Con,05-06-1971,MA,Lineman,Female,39859,White,Widowed,Fully Meets,3,3871,15-07-2023,4,5,2,15-Apr-23,Technical Skills,External,Completed,West Christina,Pamela Acosta,5,979.98,0,234
445,Lorena,Rice,2018-08-10,2021-02-08,IT Support,Jeffrey Ramos,lorena.rice@bilearner.com,CCDR,Active,Contract,Zone B,Part-Time,Resignation,Four yourself strong give focus meeting.,IT/IS,Engineers,08-01-1966,MA,Director,Female,48135,Asian,Single,Fully Meets,3,3872,15-08-2022,5,5,3,26-Feb-23,Communication Skills,Internal,Completed,Davisville,Robert Gray,3,499.86,1,913
446,Eliezer,Stokes,2022-03-04,2023-06-22,Sr. Network Engineer,Patricia Johnson,eliezer.stokes@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Resignation,Up reason question past attention.,IT/IS,Executive,27-10-1972,MA,General Manager,Male,41066,Hispanic,Widowed,Fully Meets,3,3873,25-03-2023,3,4,5,10-Mar-23,Project Management,Internal,Completed,West Deborahville,Shane Jones,3,598.22,1,475
447,Aspen,Reyes,2020-06-02,,Sr. Network Engineer,Brandy Greer,aspen.reyes@bilearner.com,PL,Active,Part-Time,Zone C,Part-Time,Unk,,IT/IS,General - Con,22-10-1997,CT,Laborer,Male,28613,Hispanic,Married,Fully Meets,3,3874,01-10-2022,4,4,5,03-Oct-22,Project Management,External,Passed,Suzanneborough,Kristy Rodriguez,2,421.93,0,1160
448,Rudy,Richardson,2021-06-29,,Sr. Network Engineer,Charles Velez,rudy.richardson@bilearner.com,BPC,Active,Contract,Zone A,Temporary,Unk,,IT/IS,Underground,23-08-1969,CT,Laborer,Male,81215,Asian,Divorced,Fully Meets,3,3875,02-02-2023,5,5,1,10-Jun-23,Leadership Development,External,Incomplete,Edwardshaven,Loretta Reynolds,2,860.22,0,768
449,Alana,Castro,2021-10-24,,Principal Data Architect,Deborah Bell,alana.castro@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,IT/IS,General - Con,30-05-1954,MA,Lineman,Female,70578,Hispanic,Single,PIP,3,3876,07-11-2022,3,2,5,10-Nov-22,Leadership Development,External,Failed,Crosschester,Gary Park,1,946.23,0,651
450,Oscar,Lopez,2018-10-22,2020-04-07,Network Engineer,Christian Ortega,oscar.lopez@bilearner.com,MSC,Active,Part-Time,Zone A,Full-Time,Resignation,Increase town serious care support key heavy.,Executive Office,General - Con,21-01-1976,MA,Lineman,Male,81607,Asian,Single,PIP,3,3877,30-06-2023,3,3,4,04-Jun-23,Communication Skills,External,Passed,Markhaven,Jeremy Townsend,1,888.55,1,533
